,Year,year_type
0,1950,rainy
1,1951,dry
2,1952,neutral
3,1953,dry
4,1954,rainy
5,1955,rainy
6,1956,neutral
7,1957,dry
8,1958,dry
9,1959,neutral
10,1960,neutral
11,1961,neutral
12,1962,neutral
13,1963,dry
14,1964,rainy
15,1965,dry
16,1966,neutral
17,1967,rainy
18,1968,dry
19,1969,dry
20,1970,rainy
21,1971,rainy
22,1972,dry
23,1973,rainy
24,1974,rainy
25,1975,rainy
26,1976,dry
27,1977,dry
28,1978,neutral
29,1979,dry
30,1980,neutral
31,1981,neutral
32,1982,dry
33,1983,rainy
34,1984,rainy
35,1985,rainy
36,1986,dry
37,1987,dry
38,1988,rainy
39,1989,neutral
40,1990,neutral
41,1991,dry
42,1992,neutral
43,1993,neutral
44,1994,dry
45,1995,rainy
46,1996,rainy
47,1997,dry
48,1998,rainy
49,1999,rainy
50,2000,rainy
51,2001,neutral
52,2002,dry
53,2003,neutral
54,2004,dry
55,2005,rainy
56,2006,dry
57,2007,rainy
58,2008,rainy
59,2009,dry
60,2010,rainy
61,2011,rainy
62,2012,neutral
63,2013,neutral
64,2014,dry
65,2015,dry
66,2016,neutral
67,2017,rainy
68,2018,dry
69,2019,dry
70,2020,rainy
71,2021,rainy
